"Day","Little Rainbow Trail","Spartan T.H. Parking Lot"
"2021-03-31","21","69"
"2021-04-01","29","66"
"2021-04-02","22","61"
"2021-04-03","53","95"
"2021-04-04","50","78"
"2021-04-05","42","76"
"2021-04-06","35","80"
"2021-04-07","80","86"
"2021-04-08","40","70"
"2021-04-09","71","95"
"2021-04-10","112","115"
"2021-04-11","99","121"
"2021-04-12","41","74"
"2021-04-13","12","41"
"2021-04-14","4","59"
"2021-04-15","46","64"
"2021-04-16","15","71"
"2021-04-17","9","59"
"2021-04-18","66","96"
"2021-04-19","49","69"
"2021-04-20","9","61"
"2021-04-21","15","63"
"2021-04-22","50","92"
"2021-04-23","53","87"
"2021-04-24","168","123"
"2021-04-25","221","133"
"2021-04-26","76","89"
"2021-04-27","34","88"
"2021-04-28","30","60"
"2021-04-29","45","91"
"2021-04-30","115","102"
"2021-05-01","164","110"
"2021-05-02","166","106"
"2021-05-03","3","35"
"2021-05-04","33","58"
"2021-05-05","67","70"
"2021-05-06","85","78"
"2021-05-07","74","120"
"2021-05-08","172","145"
"2021-05-09","103","77"
"2021-05-10","12","74"
"2021-05-11","46","97"
"2021-05-12","96","87"
"2021-05-13","79","100"
"2021-05-14","112","107"
"2021-05-15","149","119"
"2021-05-16","145","108"
"2021-05-17","33","103"
"2021-05-18","21","69"
"2021-05-19","117","64"
"2021-05-20","91","126"
"2021-05-21","102","146"
"2021-05-22","116","108"
"2021-05-23","134","100"
"2021-05-24","64","94"
"2021-05-25","44","86"
"2021-05-26","105","86"
"2021-05-27","74","106"
"2021-05-28","99","119"
"2021-05-29","200","124"
"2021-05-30","155","135"
"2021-05-31","21","77"
"2021-06-01","72","103"
"2021-06-02","64","99"
"2021-06-03","43","111"
"2021-06-04","107","107"
"2021-06-05","94","103"
"2021-06-06","91","111"
"2021-06-07","30","94"
"2021-06-08","68","98"
"2021-06-09","104","97"
"2021-06-10","78","98"
"2021-06-11","147","89"
"2021-06-12","216","111"
"2021-06-13","82","99"
"2021-06-14","86","76"
"2021-06-15","327","91"
"2021-06-16","215","66"
"2021-06-17","550","108"
"2021-06-18","219","102"
"2021-06-19","146","110"
"2021-06-20","127","88"
"2021-06-21","155","101"
"2021-06-22","108","87"
"2021-06-23","43","90"
"2021-06-24","81","80"
"2021-06-25","124","95"
"2021-06-26","225","78"
"2021-06-27","311","106"
"2021-06-28","237","91"
"2021-06-29","895","104"
"2021-06-30","842","110"
"2021-07-01","739","94"
"2021-07-02","166","113"
"2021-07-03","409","100"
"2021-07-04","110","108"
"2021-07-05","189","109"
"2021-07-06","119","73"
"2021-07-07","126","98"
"2021-07-08","39","83"
"2021-07-09","46","78"
"2021-07-10","324","87"
"2021-07-11","99","78"
"2021-07-12","80","122"
"2021-07-13","59","72"
"2021-07-14","48","128"
"2021-07-15","71","115"
"2021-07-16","78","143"
"2021-07-17","115","96"
"2021-07-18","149","81"
"2021-07-19","87","125"
"2021-07-20","158","93"
"2021-07-21","300","104"
"2021-07-22","283","75"
"2021-07-23","190","83"
"2021-07-24","55","86"
"2021-07-25","110","94"
"2021-07-26","56","84"
"2021-07-27","51","86"
"2021-07-28","60","77"
"2021-07-29","97","69"
"2021-07-30","39","83"
"2021-07-31","145","95"
"2021-08-01","58","69"
"2021-08-02","41","85"
"2021-08-03","52","98"
"2021-08-04","64","99"
"2021-08-05","62","94"
"2021-08-06","44","110"
"2021-08-07","98","82"
"2021-08-08","89","83"
"2021-08-09","55","85"
"2021-08-10","67","77"
"2021-08-11","100","88"
"2021-08-12","43","97"
"2021-08-13","100","87"
"2021-08-14","67","55"
"2021-08-15","81","67"
"2021-08-16","84","85"
"2021-08-17","41","89"
"2021-08-18","65","100"
"2021-08-19","166","90"
"2021-08-20","73","96"
"2021-08-21","163","99"
"2021-08-22","64","108"
"2021-08-23","85","88"
"2021-08-24","71","76"
"2021-08-25","65","73"
"2021-08-26","33","62"
"2021-08-27","58","101"
"2021-08-28","87","101"
"2021-08-29","119","89"
"2021-08-30","41","86"
"2021-08-31","35","71"
"2021-09-01","34","86"
"2021-09-02","55","73"
"2021-09-03","97","76"
"2021-09-04","159","113"
"2021-09-05","112","119"
"2021-09-06","102","94"
"2021-09-07","60","80"
"2021-09-08","42","85"
"2021-09-09","82","86"
"2021-09-10","33","92"
"2021-09-11","70","85"
"2021-09-12","85","103"
"2021-09-13","43","91"
"2021-09-14","56","91"
"2021-09-15","45","81"
"2021-09-16","58","73"
"2021-09-17","107","123"
"2021-09-18","110","98"
"2021-09-19","85","74"
"2021-09-20","32","93"
"2021-09-21","123","91"
"2021-09-22","51","89"
"2021-09-23","49","96"
"2021-09-24","62","107"
"2021-09-25","76","87"
"2021-09-26","57","76"
"2021-09-27","57","81"
"2021-09-28","35","75"
"2021-09-29","41","103"
"2021-09-30","36","78"
"2021-10-01","53","92"
"2021-10-02","115","73"
"2021-10-03","103","79"
"2021-10-04","55","72"
"2021-10-05","117","96"
"2021-10-06","43","99"
"2021-10-07","44","78"
"2021-10-08","94","96"
"2021-10-09","131","95"
"2021-10-10","133","88"
"2021-10-11","65","88"
"2021-10-12","5","61"
"2021-10-13","39","74"
"2021-10-14","58","64"
"2021-10-15","54","109"
"2021-10-16","117","107"
"2021-10-17","151","106"
"2021-10-18","37","80"
"2021-10-19","37","60"
"2021-10-20","67","80"
"2021-10-21","75","79"
"2021-10-22","56","89"
"2021-10-23","101","74"
"2021-10-24","98","112"
"2021-10-25","49","81"
"2021-10-26","16","73"
"2021-10-27","40","62"
"2021-10-28","44","81"
"2021-10-29","50","104"
"2021-10-30","100","100"
"2021-10-31","76","77"
"2021-11-01","21","75"
"2021-11-02","17","65"
"2021-11-03","54","84"
"2021-11-04","37","95"
"2021-11-05","76","97"
"2021-11-06","136","122"
"2021-11-07","95","96"
"2021-11-08","16","84"
"2021-11-09","19","83"
"2021-11-10","7","76"
"2021-11-11","19","70"
"2021-11-12","50","95"
"2021-11-13","78","106"
"2021-11-14","85","65"
"2021-11-15","24","94"
"2021-11-16","50","84"
"2021-11-17","24","85"
"2021-11-18","28","80"
"2021-11-19","42","98"
"2021-11-20","72","109"
"2021-11-21","105","72"
"2021-11-22","48","95"
"2021-11-23","51","90"
"2021-11-24","54","90"
"2021-11-25","21","50"
"2021-11-26","54","70"
"2021-11-27","65","88"
"2021-11-28","76","86"
"2021-11-29","51","70"
"2021-11-30","62","80"
"2021-12-01","56","92"
"2021-12-02","36","91"
"2021-12-03","43","88"
"2021-12-04","118","79"
"2021-12-05","75","82"
"2021-12-06","14","67"
"2021-12-07","14","69"
"2021-12-08","38","63"
"2021-12-09","4","85"
"2021-12-10","1","69"
"2021-12-11","10","59"
"2021-12-12","40","68"
"2021-12-13","20","69"
"2021-12-14","40","63"
"2021-12-15","5","41"
"2021-12-16","8","86"
"2021-12-17","13","58"
"2021-12-18","18","66"
"2021-12-19","43","53"
"2021-12-20","18","75"
"2021-12-21","26","82"
"2021-12-22","32","71"
"2021-12-23","34","77"
"2021-12-24","8","42"
"2021-12-25","26","50"
"2021-12-26","13","48"
"2021-12-27","9","62"
"2021-12-28","8","57"
"2021-12-29","29","63"
"2021-12-30","7","69"
"2021-12-31","14","56"
"2022-01-01","1","26"
"2022-01-02","4","46"
"2022-01-03","6","61"
"2022-01-04","14","57"
"2022-01-05","7","50"
"2022-01-06","5","56"
"2022-01-07","3","83"
"2022-01-08","16","57"
"2022-01-09","17","57"
"2022-01-10","35","50"
"2022-01-11","9","81"
"2022-01-12","11","66"
"2022-01-13","22","69"
"2022-01-14","9","58"
"2022-01-15","38","60"
"2022-01-16","44","62"
"2022-01-17","58","63"
"2022-01-18","24","57"
"2022-01-19","15","58"
"2022-01-20","15","58"
"2022-01-21","10","70"
"2022-01-22","3","48"
"2022-01-23","15","52"
"2022-01-24","7","56"
"2022-01-25","3","51"
"2022-01-26","3","51"
"2022-01-27","3","60"
"2022-01-28","0","55"
"2022-01-29","15","52"
"2022-01-30","6","59"
"2022-01-31","5","63"
"2022-02-01","6","57"
"2022-02-02","0","23"
"2022-02-03","24","41"
"2022-02-04","0","51"
"2022-02-05","13","47"
"2022-02-06","15","51"
"2022-02-07","2","46"
"2022-02-08","4","63"
"2022-02-09","5","51"
"2022-02-10","6","65"
"2022-02-11","4","54"
"2022-02-12","10","44"
"2022-02-13","7","42"
"2022-02-14","2","88"
"2022-02-15","5","72"
"2022-02-16","7","65"
"2022-02-17","1","57"
"2022-02-18","6","64"
"2022-02-19","14","78"
"2022-02-20","36","65"
"2022-02-21","6","94"
"2022-02-22","3","48"
"2022-02-23","7","41"
"2022-02-24","7","53"
"2022-02-25","0","65"
"2022-02-26","0","70"
"2022-02-27","8","77"
"2022-02-28","3","72"
"2022-03-01","15","74"
"2022-03-02","8","81"
"2022-03-03","1","79"
"2022-03-04","2","76"
"2022-03-05","4","64"
"2022-03-06","1","29"
"2022-03-07","0","60"
"2022-03-08","6","61"
"2022-03-09","1","68"
"2022-03-10","7","71"
"2022-03-11","11","60"
"2022-03-12","13","56"
"2022-03-13","7","48"
"2022-03-14","19","67"
"2022-03-15","3","64"
"2022-03-16","8","58"
"2022-03-17","0","53"
"2022-03-18","2","65"
"2022-03-19","6","47"
"2022-03-20","5","39"
"2022-03-21","1","46"
"2022-03-22","15","60"
"2022-03-23","2","48"
"2022-03-24","8","57"
"2022-03-25","41","73"
"2022-03-26","33","53"
"2022-03-27","21","69"
"2022-03-28","30","79"
"2022-03-29","5","64"
"2022-03-30","3","74"
"2022-03-31","20","71"
"2022-04-01","34","64"
"2022-04-02","126","73"
"2022-04-03","47","64"
"2022-04-04","44","58"
"2022-04-05","13","65"
"2022-04-06","23","73"
"2022-04-07","32","72"
"2022-04-08","78","84"
"2022-04-09","95","84"
"2022-04-10","27","82"
"2022-04-11","48","82"
"2022-04-12","12","67"
"2022-04-13","3","61"
"2022-04-14","20","68"
"2022-04-15","42","88"
"2022-04-16","163","86"
"2022-04-17","80","108"
"2022-04-18","44","97"
"2022-04-19","60","100"
"2022-04-20","48","86"
"2022-04-21","60","99"
"2022-04-22","33","102"
"2022-04-23","78","75"
"2022-04-24","102","92"
"2022-04-25","19","63"
"2022-04-26","75","93"
"2022-04-27","39","99"
"2022-04-28","87","108"
"2022-04-29","61","87"
"2022-04-30","192","107"
"2022-05-01","122","113"
"2022-05-02","47","104"
"2022-05-03","46","77"
"2022-05-04","45","88"
"2022-05-05","85","91"
"2022-05-06","79","96"
"2022-05-07","136","98"
"2022-05-08","119","94"
"2022-05-09","88","83"
"2022-05-10","58","113"
"2022-05-11","47","100"
"2022-05-12","52","95"
"2022-05-13","82","99"
"2022-05-14","212","97"
"2022-05-15","112","86"
"2022-05-16","63","95"
"2022-05-17","59","106"
"2022-05-18","82","107"
"2022-05-19","52","101"
"2022-05-20","17","77"
"2022-05-21","4","30"
"2022-05-22","9","47"
"2022-05-23","16","67"
"2022-05-24","3","61"
"2022-05-25","53","76"
"2022-05-26","90","91"
"2022-05-27","111","119"
"2022-05-28","180","127"
"2022-05-29","267","158"
"2022-05-30","102","126"
"2022-05-31","82","109"
"2022-06-01","58","86"
"2022-06-02","50","113"
"2022-06-03","115","125"
"2022-06-04","146","117"
"2022-06-05","159","100"
"2022-06-06","52","104"
"2022-06-07","48","79"
"2022-06-08","59","76"
"2022-06-09","75","88"
"2022-06-10","53","89"
"2022-06-11","137","82"
"2022-06-12","98","104"
"2022-06-13","73","90"
"2022-06-14","91","95"
"2022-06-15","59","86"
"2022-06-16","31","77"
"2022-06-17","88","133"
"2022-06-18","136","102"
"2022-06-19","124","113"
"2022-06-20","68","104"
"2022-06-21","79","104"
"2022-06-22","81","88"
"2022-06-23","53","84"
"2022-06-24","54","95"
"2022-06-25","79","93"
"2022-06-26","61","83"
"2022-06-27","64","71"
"2022-06-28","81","94"
"2022-06-29","42","93"
"2022-06-30","52","80"
"2022-07-01","60","93"
"2022-07-02","111","100"
"2022-07-03","171","96"
"2022-07-04","155","112"
"2022-07-05","56","92"
"2022-07-06","113","101"
"2022-07-07","61","86"
"2022-07-08","44","99"
"2022-07-09","74","83"
"2022-07-10","97","83"
"2022-07-11","94","103"
"2022-07-12","81","97"
"2022-07-13","45","93"
"2022-07-14","66","83"
"2022-07-15","44","82"
"2022-07-16","121","93"
"2022-07-17","61","107"
"2022-07-18","29","73"
"2022-07-19","54","87"
"2022-07-20","60","69"
"2022-07-21","39","86"
"2022-07-22","43","96"
"2022-07-23","54","74"
"2022-07-24","82","91"
"2022-07-25","59","87"
"2022-07-26","72","90"
"2022-07-27","42","101"
"2022-07-28","36","72"
"2022-07-29","62","106"
"2022-07-30","104","113"
"2022-07-31","112","82"
"2022-08-01","62","78"
"2022-08-02","48","93"
"2022-08-03","49","86"
"2022-08-04","79","97"
"2022-08-05","81","108"
"2022-08-06","101","102"
"2022-08-07","67","82"
"2022-08-08","81","91"
"2022-08-09","69","121"
"2022-08-10","37","84"
"2022-08-11","35","83"
"2022-08-12","51","82"
"2022-08-13","69","94"
"2022-08-14","114","84"
